#Prueba,Alcance o Purview (t+1),Mecanismo(t)
1,ABCDEFGHIJKLMNOPQRSTUVWXY,ABCDEFGHIJKLMNOPQRSTUVWXY
2,ABCDEFGHIJKLMNOPQRSTUVWXY,ABCDEFGHIJKLMNOPQRSTUVWX
3,ABCDEFGHIJKLMNOPQRSTUVWXY,BCDEFGHIJKLMNOPQRSTUVWXY
4,ABCDEFGHIJKLMNOPQRSTUVWXY,BCDEFGHIJKLMNOPQRSTUVWX
5,ABCDEFGHIJKLMNOPQRSTUVWXY,ABDEGHJKMNPQSTVWY
6,ABCDEFGHIJKLMNOPQRSTUVWXY,ACEGIKMOQSUWY
7,ABCDEFGHIJKLMNOPQRSTUVWXY,BDFHJLNPRTVX
8,ABCDEFGHIJKLMNOPQRSTUVWX,ABCDEFGHIJKLMNOPQRSTUVWXY
9,ABCDEFGHIJKLMNOPQRSTUVWX,ABCDEFGHIJKLMNOPQRSTUVWX
10,ABCDEFGHIJKLMNOPQRSTUVWX,BCDEFGHIJKLMNOPQRSTUVWXY
11,ABCDEFGHIJKLMNOPQRSTUVWX,BCDEFGHIJKLMNOPQRSTUVWX
12,ABCDEFGHIJKLMNOPQRSTUVWX,ABDEGHJKMNPQSTVWY
13,ABCDEFGHIJKLMNOPQRSTUVWX,ACEGIKMOQSUWY
14,ABCDEFGHIJKLMNOPQRSTUVWX,BDFHJLNPRTVX
15,BCDEFGHIJKLMNOPQRSTUVWXY,ABCDEFGHIJKLMNOPQRSTUVWXY
16,BCDEFGHIJKLMNOPQRSTUVWXY,ABCDEFGHIJKLMNOPQRSTUVWX
17,BCDEFGHIJKLMNOPQRSTUVWXY,BCDEFGHIJKLMNOPQRSTUVWXY
18,BCDEFGHIJKLMNOPQRSTUVWXY,BCDEFGHIJKLMNOPQRSTUVWX
19,BCDEFGHIJKLMNOPQRSTUVWXY,ABDEGHJKMNPQSTVWY
20,BCDEFGHIJKLMNOPQRSTUVWXY,ACEGIKMOQSUWY
21,BCDEFGHIJKLMNOPQRSTUVWXY,BDFHJLNPRTVX
22,BCDEFGHIJKLMNOPQRSTUVWX,ABCDEFGHIJKLMNOPQRSTUVWXY
23,BCDEFGHIJKLMNOPQRSTUVWX,ABCDEFGHIJKLMNOPQRSTUVWX
24,BCDEFGHIJKLMNOPQRSTUVWX,BCDEFGHIJKLMNOPQRSTUVWXY
25,BCDEFGHIJKLMNOPQRSTUVWX,BCDEFGHIJKLMNOPQRSTUVWX
26,BCDEFGHIJKLMNOPQRSTUVWX,ABDEGHJKMNPQSTVWY
27,BCDEFGHIJKLMNOPQRSTUVWX,ACEGIKMOQSUWY
28,BCDEFGHIJKLMNOPQRSTUVWX,BDFHJLNPRTVX
29,ABDEGHJKMNPQSTVWY,ABCDEFGHIJKLMNOPQRSTUVWXY
30,ABDEGHJKMNPQSTVWY,ABCDEFGHIJKLMNOPQRSTUVWX
31,ABDEGHJKMNPQSTVWY,BCDEFGHIJKLMNOPQRSTUVWXY
32,ABDEGHJKMNPQSTVWY,BCDEFGHIJKLMNOPQRSTUVWX
33,ABDEGHJKMNPQSTVWY,ABDEGHJKMNPQSTVWY
34,ABDEGHJKMNPQSTVWY,ACEGIKMOQSUWY
35,ABDEGHJKMNPQSTVWY,BDFHJLNPRTVX
36,ACEGIKMOQSUWY,ABCDEFGHIJKLMNOPQRSTUVWXY
37,ACEGIKMOQSUWY,ABCDEFGHIJKLMNOPQRSTUVWX
38,ACEGIKMOQSUWY,BCDEFGHIJKLMNOPQRSTUVWXY
39,ACEGIKMOQSUWY,BCDEFGHIJKLMNOPQRSTUVWX
40,ACEGIKMOQSUWY,ABDEGHJKMNPQSTVWY
41,ACEGIKMOQSUWY,ACEGIKMOQSUWY
42,ACEGIKMOQSUWY,BDFHJLNPRTVX
43,BDFHJLNPRTVX,ABCDEFGHIJKLMNOPQRSTUVWXY
44,BDFHJLNPRTVX,ABCDEFGHIJKLMNOPQRSTUVWX
45,BDFHJLNPRTVX,BCDEFGHIJKLMNOPQRSTUVWXY
46,BDFHJLNPRTVX,BCDEFGHIJKLMNOPQRSTUVWX
47,BDFHJLNPRTVX,ABDEGHJKMNPQSTVWY
48,BDFHJLNPRTVX,ACEGIKMOQSUWY
49,BDFHJLNPRTVX,BDFHJLNPRTVX
50,ACDEFGHIJKLMNOPQRSTVX,ACDEFGHIJKLMNOPQRSTVX
